symbol,name,industry,sector,trading_days,extreme_count,max_abs_change
000001.SZ,平安银行,金融,银行,729,2,0.11568627450980418
000002.SZ,万科A,地产,房地产,729,0,0.0
000333.SZ,美的集团,消费,家电,729,0,0.0
000858.SZ,五粮液,消费,白酒,729,0,0.0
002475.SZ,立讯精密,科技,电子制造,729,0,0.0
002594.SZ,比亚迪,新能源,汽车,729,0,0.0
002920.SZ,德赛西威,科技,汽车电子,729,0,0.0
300059.SZ,东方财富,金融,金融科技,729,10,0.2008547008547008
300750.SZ,宁德时代,新能源,电池,729,4,0.1921837392404031
300760.SZ,迈瑞医疗,医药,医疗器械,729,1,0.1457544811826037
600031.SH,三一重工,周期,机械,729,0,0.0
600036.SH,招商银行,金融,银行,729,0,0.0
600276.SH,恒瑞医药,医药,化学制药,729,0,0.0
600309.SH,万华化学,周期,化工,729,0,0.0
600519.SH,贵州茅台,消费,白酒,729,0,0.0
600900.SH,长江电力,公用事业,电力,728,0,0.0
601012.SH,隆基绿能,新能源,光伏,729,0,0.0
601166.SH,兴业银行,金融,银行,729,1,0.11629746835443022
601318.SH,中国平安,金融,保险,729,1,0.11639135959339253
603288.SH,海天味业,消费,调味品,729,0,0.0
