month,held_count,symbols,turnover_rate,empty_reason,best_stock,worst_stock
2023-01,7,000001.SZ;601318.SH;000858.SZ;300750.SZ;600036.SH;002594.SZ;600276.SH,0.0%,,600276.SH (+3.10%),300750.SZ (-13.88%)
2023-02,0,,100.0%,"20日>0%:1只, MA5>MA10:2只, 同时满足:0只",,
2023-03,2,600519.SH;300750.SZ,0.0%,,300750.SZ (+3.14%),600519.SH (-3.51%)
2023-04,1,601318.SH,150.0%,,601318.SH (-10.81%),601318.SH (-10.81%)
2023-05,0,,100.0%,"20日>0%:0只, MA5>MA10:0只, 同时满足:0只",,
2023-06,0,,0.0%,"20日>0%:8只, MA5>MA10:0只, 同时满足:0只",,
2023-07,9,000001.SZ;601318.SH;000858.SZ;600519.SH;300750.SZ;600036.SH;002594.SZ;000002.SZ;601166.SH,0.0%,,300750.SZ (-0.53%),000858.SZ (-14.71%)
2023-08,0,,100.0%,"20日>0%:0只, MA5>MA10:8只, 同时满足:0只",,
2023-09,4,000001.SZ;600036.SH;600276.SH;601166.SH,0.0%,,600276.SH (+6.74%),601166.SH (-8.53%)
2023-10,1,600276.SH,75.0%,,600276.SH (+0.17%),600276.SH (+0.17%)
2023-11,2,600519.SH;600276.SH,100.0%,,600519.SH (-2.75%),600276.SH (-5.86%)
2023-12,2,002594.SZ;601166.SH,200.0%,,,
