date,symbols,count
2023-01-31,"300059.SZ,000001.SZ,000858.SZ,002920.SZ,300750.SZ,601012.SH,600276.SH,600036.SH,601318.SH,002594.SZ,600031.SH,600519.SH,600309.SH,000333.SZ,300760.SZ,601166.SH,002475.SZ,600900.SH",18
2023-02-28,"600309.SH,600031.SH,603288.SH,600276.SH,600900.SH",5
2023-03-31,"300750.SZ,002475.SZ,600519.SH",3
2023-04-28,"600276.SH,601318.SH,300750.SZ,000333.SZ,600900.SH,601166.SH",6
2023-05-31,"002920.SZ,002475.SZ,600900.SH",3
2023-06-30,"002920.SZ,002475.SZ,000333.SZ,600031.SH,600309.SH,600276.SH,600519.SH,000858.SZ,300750.SZ,002594.SZ,601318.SH,300059.SZ,601166.SH,600036.SH,601012.SH",15
2023-07-31,"300059.SZ,600309.SH,600036.SH,600519.SH,000858.SZ,601318.SH,000001.SZ,600031.SH,000002.SZ,601166.SH,300750.SZ,601012.SH,002594.SZ,600900.SH,000333.SZ",15
2023-08-31,600900.SH,1
2023-09-28,"600276.SH,600036.SH,601012.SH,600031.SH,601166.SH,600900.SH,000001.SZ,000858.SZ",8
2023-10-31,"002475.SZ,600276.SH,300760.SZ,300059.SZ,600900.SH",5
2023-11-30,"300760.SZ,002920.SZ,603288.SH,000002.SZ,002475.SZ,600519.SH,600276.SH,600900.SH",8
