symbol,status,minute_rows,start_dt,end_dt,unique_days,unique_times,pct_full_4bars,unique_days_12m,pct_full_4bars_12m,error
601899.SH,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
600276.SH,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
000063.SZ,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
002230.SZ,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
300124.SZ,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
601600.SH,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
002415.SZ,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
600031.SH,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
300059.SZ,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
000725.SZ,minute_error,,,,,,,,,"HTTPSConnectionPool(host='quotes.sina.cn', port=443): Max retries exceeded with url: /cn/api/jsonp_v2.php/=/CN_MarketDat"
601688.SH,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
300433.SZ,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
300136.SZ,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
601088.SH,ok,1970.0,2023-11-22 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
300014.SZ,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
603259.SH,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
002371.SZ,minute_error,,,,,,,,,"HTTPSConnectionPool(host='quotes.sina.cn', port=443): Max retries exceeded with url: /cn/api/jsonp_v2.php/=/CN_MarketDat"
300832.SZ,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
002920.SZ,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
002466.SZ,ok,1970.0,2023-12-06 14:00,2025-12-17 15:00,493.0,"10:30,11:30,14:00,15:00",0.998,252.0,1.0,
